backend,size,tile_m,tile_n,tile_k,occupancy,compile_ms,first_launch_ms,steady_latency_ms,tflops,latency_std_ms,pct_peak,max_err
cuTile,128,128,128,128,8,1315.636535990052,8.94794100895524,0.014613333406547706,0.2870189766641938,0.0008830041700032434,0.20212603990436184,0.059467315673828125
Torch,256,,,,,0.0,0.38176897214725614,0.02259200004239877,1.4852351246913889,0.0018414883877056769,1.0459402286559076,0.0
Triton,256,16,16,16,,,0.08681899635121226,0.03523200030128161,0.9523850963063091,0.002275887543197784,0.6706937297931754,5.7220458984375e-05
Triton,256,32,32,32,,,0.0515900319442153,0.03386026695370674,0.9909677335348576,0.0010223234261921947,0.6978646010808857,5.7220458984375e-05
Triton,256,64,64,16,,,0.05059002432972193,0.036657066891590755,0.9153605251405833,0.009022493644434956,0.6446200881271713,5.7220458984375e-05
Triton,256,64,64,32,,,0.050589966122061014,0.034067200124263765,0.9849483338110151,0.002257721787859444,0.6936255871908558,5.7220458984375e-05
cuTile,256,32,32,32,,8.589792007114738,7.633425993844867,0.0084629333888491,3.9648701529675128,0.00044934920705542525,2.7921620795545863,0.034881591796875
cuTile,256,32,32,32,1,275.7713050232269,9.524970024358481,0.008328533358871936,4.0288524466623254,0.0007352544911639919,2.8372200328607926,0.034881591796875
cuTile,256,32,32,32,2,276.6662010108121,9.064431011211127,0.008524800029893717,3.93609608229348,0.0006085947755937912,2.7718986495024507,0.034881591796875
cuTile,256,32,32,32,4,273.94510997692123,8.852632017806172,0.008806400001049042,3.8102325576856493,0.0008191999513656099,2.6832623645673586,0.034881591796875
cuTile,256,32,32,32,8,272.5616949610412,8.742671983782202,0.008878933389981587,3.7791061748318375,0.0008869537577355373,2.661342376642139,0.034881591796875
cuTile,256,64,64,32,,8.452423033304513,7.816624012775719,0.009830400099356968,3.4133332988343863,0.0007259792099022358,2.403755844249568,0.034881591796875
cuTile,256,64,64,32,1,460.67301998846233,8.510712999850512,0.009894400027891,3.3912548416694803,0.0007113505920753922,2.388207634978507,0.034881591796875
cuTile,256,64,64,32,2,467.7891479805112,8.917792001739144,0.010444799996912479,3.2125490205574843,0.0007663805571712105,2.2623584651813267,0.034881591796875
cuTile,256,64,64,32,4,476.3348210253753,8.783551980741322,0.010988799979289372,3.053511945184201,0.0020972024639743245,2.1503605247776063,0.034881591796875
cuTile,256,64,64,32,8,465.043937030714,11.406162986531854,0.016723199933767318,2.006460015600676,0.001220024240681181,1.4130000109863916,0.034881591796875
cuTile,256,64,64,64,,372.9512729914859,8.464922022540122,0.009832533448934555,3.412592713186847,0.001043053831021929,2.4032343050611598,0.05117225646972656
cuTile,256,64,64,64,1,373.42663103481755,8.543152012862265,0.010028800182044505,3.3458072143141933,0.0009297858165429973,2.3562022636015447,0.05117225646972656
cuTile,256,64,64,64,2,371.38236698228866,8.795502013526857,0.010653866579135259,3.149507434766797,0.002687376723761862,2.217962982230139,0.05117225646972656
cuTile,256,64,64,64,4,377.4301069788635,9.02318098815158,0.011123199885090192,3.0166168320841895,0.0009793464458656565,2.124378050763514,0.05117225646972656
cuTile,256,64,64,64,8,379.50810097390786,8.645342022646219,0.009824000112712384,3.4155569640700767,0.0010440044363415097,2.405321805683153,0.05117225646972656
cuTile,256,128,64,32,,725.4989200155251,8.919701038394123,0.012629333573083082,2.6568648144281033,0.000715986697946133,1.8710315594564109,0.034881591796875
cuTile,256,128,64,32,1,732.6350370422006,8.9386019972153,0.012625066936016083,2.6577627009863845,0.0006131838277974138,1.8716638739340734,0.034881591796875
cuTile,256,128,64,32,2,709.7488099825568,8.915651007555425,0.013510399994750818,2.4836001904486076,0.0009256944392042073,1.74901421862578,0.034881591796875
cuTile,256,128,64,32,4,670.6872750073671,8.594192971941084,0.01897173362473647,1.7686539703598698,0.0008213357550160744,1.245530965042162,0.034881591796875
cuTile,256,128,64,32,8,731.24676104635,8.82183201611042,0.012629333635171254,2.656864801366458,0.0008077419991835585,1.871031550258069,0.034881591796875
cuTile,256,64,128,32,,727.3093429976143,8.922092034481466,0.012627200223505497,2.6573136883929758,0.0008909416975846426,1.8713476678823775,0.034881591796875
cuTile,256,64,128,32,1,726.8661549896933,11.451142956502736,0.012763733540972074,2.628888474699741,0.0008261426898283363,1.8513299117603812,0.034881591796875
cuTile,256,64,128,32,2,683.1434250343591,8.649791998323053,0.013038933525482814,2.573403103438057,0.000950844417781509,1.8122557066465192,0.034881591796875
cuTile,256,64,128,32,4,676.3372569694184,8.710711961612105,0.018557866911093394,1.8080974586546936,0.0007377567754480952,1.2733080694751364,0.034881591796875
cuTile,256,64,128,32,8,737.2479210025631,87.5375290052034,0.01263146692266067,2.6564160920853803,0.0008068794992868417,1.870715557806606,0.034881591796875
